stars,comment
5.0 out of 5 stars,"









  
  
    
  Super saree.. I got number of compliments, really I like it

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money . fabric,and saree quality is looks like handlooms. Overall in 500rs total is good. ❤️🧡👍👍

  
"
5.0 out of 5 stars,"









  
  
    
  Satisfied with the product. Light weight and value for money.

  
"
4.0 out of 5 stars,"









  
  
    
  Okay

  
"
5.0 out of 5 stars,"









  
  
    
  NiceBeutifulAffordable saree

  
"
4.0 out of 5 stars,"









  
  
    
  Gorgeous sareeJust loved itSame as shown in pik

  
"
5.0 out of 5 stars,"









  
  
    
  So good saari her fibre is so good .like a lot.

  
"
5.0 out of 5 stars,"









  
  
    
  I like too & so much comfortable,  extra long also price is in budget.

  
"
5.0 out of 5 stars,"









  
  
    
  Very good

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent Saree in this Price, Quality of cloth Very Good

  
"
4.0 out of 5 stars,"









  
  
    
  Saari is really awesome

  
"
5.0 out of 5 stars,"









  
  
    
  Very beautiful saree at this price😊

  
"
5.0 out of 5 stars,"









  
  
    
  It's soooooo pretty.I love this saree total value for money.😊👍

  
"
4.0 out of 5 stars,"









  
  
    
  Quality of the cloth is not bad..its light weight saree

  
"
4.0 out of 5 stars,"









  
  
    
  Oka ok not good not bad

  
"
5.0 out of 5 stars,"









  
  
    
  Light weight

  
"
4.0 out of 5 stars,"









  
  
    
  Exactly same piece as displayed in picture good to buy.. Worth

  
"
4.0 out of 5 stars,"









  
  
    
  Sharee quality and color was good

  
"
1.0 out of 5 stars,"









  
  
    
  Prints are fade away after one wash..

  
"
4.0 out of 5 stars,"









  
  
    
  Wowww Awsome

  
"
5.0 out of 5 stars,"









  
  
    
  Soft cotton Silk Saree Women Quality Very Good Beautiful

  
"
4.0 out of 5 stars,"









  
  
    
  Most beautiful product...I like most

  
"
5.0 out of 5 stars,"









  
  
    
  Price also good quality also good

  
"
4.0 out of 5 stars,"









  
  
    
  It's good,valued for money and colour is as expected...

  
"
3.0 out of 5 stars,"









  
  
    
  It is 5.5m length but blouse piece is missing. But any way product is nice and quality is good

  
"
1.0 out of 5 stars,"









  
  
    
  Bad Quality.

  
"
2.0 out of 5 stars,"









  
  
    
  I ordered because of peacock design but I got design of leaves . So some what disappointed 😒

  
"
4.0 out of 5 stars,"









  
  
    
  Its so so .

  
"
5.0 out of 5 stars,"









  
  
    
  Gr8

  
"
5.0 out of 5 stars,"









  
  
    
  Beautiful saree..good colour as shown in picture..love it

  
"
2.0 out of 5 stars,"









  
  
    
  Ok 🙂

  
"
3.0 out of 5 stars,"









  
  
    
  Very soft nd very comfortable saree

  
"
2.0 out of 5 stars,"









  
  
    
  Blouse material is not there.. overall good

  
"
1.0 out of 5 stars,"









  
  
    
  material shrinks after first wash.

  
"
1.0 out of 5 stars,"









  
  
    
  Not as in the picture

  
"
3.0 out of 5 stars,"









  
  
    
  Fabric is nice . Colours are bright. Like the product very much .

  
"
5.0 out of 5 stars,"









  
  
    
  Good product as shown in photo ...like it ..thank you amazon😊😊

  
"
5.0 out of 5 stars,"









  
  
    
  Good product

  
"
1.0 out of 5 stars,"









  
  
    
  Material is good but golden print is very cheap and poor..

  
"
5.0 out of 5 stars,"









  
  
    
  I like it

  
"
2.0 out of 5 stars,"









  
  
    
  Duplicate prd

  
"
2.0 out of 5 stars,"









  
  
    
  Not link expect in pictures

  
"
5.0 out of 5 stars,"









  
  
    
  Perfect looks the same everything is perfect 😍

  
"
3.0 out of 5 stars,"









  
  
    
  Not too much better. But average

  
"
5.0 out of 5 stars,"









  
  
    
  Exactly same as picture..fabric is good.

  
"
1.0 out of 5 stars,"









  
  
    
  Very bad

  
"
4.0 out of 5 stars,"









  
  
    
  good

  
"
4.0 out of 5 stars,"









  
  
    
  Good product in this range

  
"
3.0 out of 5 stars,"









  
  
    
  Saree size is good and looks same as photo but length is small so we cannot stitch blouse piece from that.

  
"
1.0 out of 5 stars,"









  
  
    
  Print started coming out after one wear

  
"
5.0 out of 5 stars,"









  
  
    
  Its value for money also light weight... Must buy this saree

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome saree.......... Value for money

  
"
5.0 out of 5 stars,"









  
  
    
  My mom loved it

  
"
5.0 out of 5 stars,"









  
  
    
  Perfect Saree

  
"
5.0 out of 5 stars,"









  
  
    
  It is fine and exactly as we expected of it.

  
"
5.0 out of 5 stars,"









  
  
    
  I like it....

  
"
1.0 out of 5 stars,"









  
  
    
  Saree is already used and toned

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
5.0 out of 5 stars,"









  
  
    
  Light weight

  
"
4.0 out of 5 stars,"









  
  
    
  Light weight very beautiful saree..

  
"
5.0 out of 5 stars,"









  
  
    
  Very very poor

  
"
5.0 out of 5 stars,"









  
  
    
  Nice and gorgeous product 🤩

  
"
5.0 out of 5 stars,"









  
  
    
  beutiful sari

  
"
5.0 out of 5 stars,"









  
  
    
  Saree is very pretty...soft and quality is quite good..

  
"
5.0 out of 5 stars,"









  
  
    
  Very much lite weight

  
"
1.0 out of 5 stars,"









  
  
    
  Quality is not good at all.

  
"
4.0 out of 5 stars,"









  
  
    
  Good product

  
"
3.0 out of 5 stars,"









  
  
    
  Fabric is just okay

  
"
5.0 out of 5 stars,"









  
  
    
  It's a beautiful saree.. amezing..must buy 👍👍👍

  
"
5.0 out of 5 stars,"









  
  
    
  Perfect 🥰

  
"
5.0 out of 5 stars,"









  
  
    
  100% value of money

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money.

  
"
4.0 out of 5 stars,"









  
  
    
  Good colour

  
"
1.0 out of 5 stars,"









  
  
    
  Very bad product dont buy it

  
"
5.0 out of 5 stars,"









  
  
    
  As shown

  
"
4.0 out of 5 stars,"









  
  
    
  Product quality was good. Delivery was in time.

  
"
4.0 out of 5 stars,"









  
  
    
  Good but paint will go off after one wash other wise it was nice

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money I am very happy

  
"
1.0 out of 5 stars,"









  
  
    
  Don't buy this.Waste of money.

  
"
2.0 out of 5 stars,"









  
  
    
  Jost ok

  
"
5.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
4.0 out of 5 stars,"









  
  
    
  Good

  
"
1.0 out of 5 stars,"









  
  
    
  Poor qualityVery bad.. cheating with inappropriate photo adds

  
"
3.0 out of 5 stars,"









  
  
    
  Average printed design

  
"
3.0 out of 5 stars,"









  
  
    
  Value for money product.

  
"
5.0 out of 5 stars,"









  
  
    
  Best Saree.... Confort... Quality cloth....

  
"
1.0 out of 5 stars,"









  
  
    
  The saree is not match with the pictures

  
"
5.0 out of 5 stars,"









  
  
    
  Good to wear for my mom... Happy with product.... Thanks....

  
"
5.0 out of 5 stars,"









  
  
    
  According to the price material of saree is amazing 🥰 i love it😍

  
"
5.0 out of 5 stars,"









  
  
    
  Superb

  
"
5.0 out of 5 stars,"









  
  
    
  Awesome

  
"
1.0 out of 5 stars,"









  
  
    
  This product saree is cheap quality material.

  
"
5.0 out of 5 stars,"









  
  
    
  Value of Money

  
"
5.0 out of 5 stars,"









  
    
  சரியானது,  விலை மலிவு, கச்சிதமாக இருக்கு

  
  
"
4.0 out of 5 stars,"









  
  
    
  Good product, promptly delivered  by Amazon as usual

  
"
1.0 out of 5 stars,"









  
  
    
  Very poor quality. Don't buywaste of money

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent

  
"
5.0 out of 5 stars,"









  
  
    
  Colours combination is very attractive looking

  
"
5.0 out of 5 stars,"









  
  
    
  Value for moneyComfortLight weight

  
"
4.0 out of 5 stars,"









  
  
    
  nice saree

  
"
5.0 out of 5 stars,"









  
  
    
  Looks very nice and beautiful

  
"
5.0 out of 5 stars,"









  
  
    
  Product is good

  
"
1.0 out of 5 stars,"









  
  
    
  Best product money value waste print waste colouring waste washing saree colour going

  
"
4.0 out of 5 stars,"









  
  
    
  Comfortable, beautiful, good.

  
"
2.0 out of 5 stars,"









  
  
    
  Waste of money . Don't buy this product.

  
"
2.0 out of 5 stars,"









  
  
    
  It's prints and color is OK but it is defected on aanchal. So am not happy with this product.

  
"
1.0 out of 5 stars,"









  
  
    
  Worst quality don’t buy from this seller , damaged item

  
"
2.0 out of 5 stars,"









  
  
    
  Value for money; The saree was torn at the ends

  
"
2.0 out of 5 stars,"









  
  
    
  Low qualit

  
"
4.0 out of 5 stars,"









  
  
    
  Super

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Nice product

  
"
3.0 out of 5 stars,"









  
  
    
  Gd qoulity

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
1.0 out of 5 stars,"









  
  
    
  Very poor and defective piece

  
"
1.0 out of 5 stars,"









  
  
    
  Weast product plz don't buy

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice product... value for money...

  
"
5.0 out of 5 stars,"









  
  
    
  My wife

  
"
4.0 out of 5 stars,
3.0 out of 5 stars,"









  
  
    
  Print is not good

  
"
5.0 out of 5 stars,"









  
  
    
  Fabulous saree

  
"
5.0 out of 5 stars,"









  
  
    
  Best Quality

  
"
1.0 out of 5 stars,"









  
  
    
  6"" to 8""thread Cut  mark in saari

  
"
1.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
5.0 out of 5 stars,"









  
  
    
  Really love it👌

  
"
5.0 out of 5 stars,"









  
  
    
  I like this .... This came exactly same

  
"
5.0 out of 5 stars,"









  
  
    
  Great family wear

  
"
4.0 out of 5 stars,"









  
  
    
  Gud material

  
"
2.0 out of 5 stars,"









  
  
    
  The cloth was bad

  
"
4.0 out of 5 stars,"









  
  
    
  Brought it for my momIt's impressive

  
"
5.0 out of 5 stars,
5.0 out of 5 stars,
5.0 out of 5 stars,"









  
  
    
  Nice saree I love it same to same display febric awasam

  
"
5.0 out of 5 stars,"









  
  
    
  Quality is good

  
"
5.0 out of 5 stars,
3.0 out of 5 stars,"









  
  
    
  Quality is not good

  
"
1.0 out of 5 stars,"









  
  
    
  Only pic is looking good but saree on one buy

  
"
1.0 out of 5 stars,"









  
  
    
  Fabric nit so good

  
"
3.0 out of 5 stars,"









  
  
    
  Wrong colour came. Product is good but we ordered the blue one but the black one came.

  
"
1.0 out of 5 stars,"









  
  
    
  Wast product, don't buy this product fake

  
"
5.0 out of 5 stars,"









  
  
    
  Very good products,  I am so happy.....

  
"
5.0 out of 5 stars,"









  
  
    
  Nice products

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
1.0 out of 5 stars,"









  
  
    
  Quantity is not good.

  
"
1.0 out of 5 stars,"









  
  
    
  The product is fake and photo is not same

  
"
5.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
4.0 out of 5 stars,"









  
  
    
  Nice saree....

  
"
1.0 out of 5 stars,"









  
  
    
  Material not same as described .

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Nice .... colour superrr

  
"
5.0 out of 5 stars,"









  
  
    
  Fabulous

  
"
4.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Nice value for money

  
"
5.0 out of 5 stars,"









  
  
    
  peacock model

  
"
4.0 out of 5 stars,"









  
  
    
  Quality is not so good

  
"
5.0 out of 5 stars,"









  
  
    
  Good product at this price.

  
"
1.0 out of 5 stars,"









  
  
    
  Cheep quality, don't waste money...

  
"
1.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
4.0 out of 5 stars,"









  
  
    
  Look nice and good colour combination

  
"
1.0 out of 5 stars,"









  
  
    
  Very worst cloth not worthy for ₹200.plz don't buy the saree

  
"
5.0 out of 5 stars,"









  
  
    
  Good product at Cheap price

  
"
5.0 out of 5 stars,"









  
  
    
  Self

  
"
1.0 out of 5 stars,"









  
  
    
  Print quality issue

  
"
1.0 out of 5 stars,"









  
  
    
  Not gud

  
"
5.0 out of 5 stars,"









  
  
    
  Was as expected

  
"
5.0 out of 5 stars,"









  
  
    
  Very Beautiful

  
"
3.0 out of 5 stars,"









  
  
    
  Not Good

  
"
4.0 out of 5 stars,"









  
  
    
  Ok

  
"
3.0 out of 5 stars,"









  
  
    
  Good sarees

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
3.0 out of 5 stars,"









  
  
    
  I like product.value for money.

  
"
1.0 out of 5 stars,"









  
  
    
  Very bad product...

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice sari.. Loved it

  
"
5.0 out of 5 stars,"









  
  
    
  Its soooo beautiful saree

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing sarees

  
"
1.0 out of 5 stars,"









  
  
    
  Bad

  
"
5.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Good quality

  
"
4.0 out of 5 stars,"









  
  
    
  width is little less . otherwise product is okay.

  
"
5.0 out of 5 stars,"









  
  
    
  It is so beautiful...

  
"
5.0 out of 5 stars,"









  
  
    
  Good product

  
"
4.0 out of 5 stars,"









  
  
    
  product is very good as per cost

  
"
5.0 out of 5 stars,"









  
  
    
  Superb

  
"
5.0 out of 5 stars,"









  
  
    
  I am satisfied with this product.

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
5.0 out of 5 stars,
4.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Nice

  
"
5.0 out of 5 stars,"









  
  
    
  Like

  
"
4.0 out of 5 stars,"









  
  
    
  Go for it

  
"
5.0 out of 5 stars,"









  
  
    
  Like it

  
"
1.0 out of 5 stars,"









  
  
    
  Product is not good

  
"
3.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
5.0 out of 5 stars,"









  
  
    
  Super

  
"
3.0 out of 5 stars,"









  
  
    
  Liked

  
"
4.0 out of 5 stars,"









  
  
    
  Nice saree

  
"
4.0 out of 5 stars,"









  
  
    
  Beautiful

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice product...

  
"
2.0 out of 5 stars,"









  
  
    
  Width chhoti h

  
"
1.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
4.0 out of 5 stars,"









  
  
    
  Superb

  
"
2.0 out of 5 stars,"









  
  
    
  Product is not well

  
"
3.0 out of 5 stars,"









  
  
    
  Good

  
"
3.0 out of 5 stars,"









  
  
    
  Comfort

  
"
5.0 out of 5 stars,"









  
  
    
  Colour

  
"
4.0 out of 5 stars,"









  
  
    
  This is nice Saree look simple and sweet

  
"
3.0 out of 5 stars,"









  
  
    
  Its ok but we expectd more...

  
"
2.0 out of 5 stars,"









  
  
    
  No

  
"
1.0 out of 5 stars,"









  
  
    
  I like but saree colour is faded

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice.

  
"
5.0 out of 5 stars,"









  
  
    
  Thanks

  
"
5.0 out of 5 stars,"









  
  
    
  Good

  
"
5.0 out of 5 stars,"









  
  
    
  Value for money

  
"
2.0 out of 5 stars,"









  
  
    
  Waste of  money

  
"
4.0 out of 5 stars,"









  
  
    
  Super

  
"
5.0 out of 5 stars,"









  
  
    
  Like

  
"
4.0 out of 5 stars,"









  
  
    
  Awesome product

  
"
2.0 out of 5 stars,"









  
  
    
  I suppose not to buy this product

  
"
1.0 out of 5 stars,"









  
  
    
  Fraudulent.

  
"
1.0 out of 5 stars,"









  
  
    
  Not worthfull

  
"
1.0 out of 5 stars,"









  
  
    
  Not worthy

  
"
4.0 out of 5 stars,"









  
  
    
  good

  
"
3.0 out of 5 stars,"









  
  
    
  Nice

  
"
1.0 out of 5 stars,"









  
  
    
  Product quality verry bad

  
"
2.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
5.0 out of 5 stars,"









  
    
  अतिसुन्दर

  
  
"
4.0 out of 5 stars,"









  
  
    
  Super

  
"
1.0 out of 5 stars,"









  
  
    
  Waste of money

  
"
3.0 out of 5 stars,"









  
  
    
  Good one..

  
"
1.0 out of 5 stars,"









  
  
    
  Bad quality and prints

  
"
4.0 out of 5 stars,"









  
  
    
  good

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice product

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice fabric

  
"
3.0 out of 5 stars,"









  
  
    
  Nice product

  
"
5.0 out of 5 stars,"









  
  
    
  I like this product.

  
"
2.0 out of 5 stars,"









  
  
    
  Poor quality

  
"
3.0 out of 5 stars,"









  
  
    
  It's ok

  
"
5.0 out of 5 stars,"









  
  
    
  Superb saree with a beautiful A1 quality and colour is wonderful. Very very trustworthy. Its light weighted and very comfortable with a best purchase value. Must buy product.

  
"
5.0 out of 5 stars,"









  
  
    
  It looks amazing with glossy finish and too light to carry, happy with the quality , delivery and packing was also appreciable, overall experience with this saree is ery nice👌

  
"
5.0 out of 5 stars,"









  
  
    
  It was a Christmas gift for my aunty.... she was very happy with it.... Light in weight.... Thanks to the team 😊

  
"
5.0 out of 5 stars,"









  
  
    
  I liked this product a lot....more than pic really it's very much beautiful..and if we wash the saree atleast 2 to 3 times the printing goes....but the combination of saree is very beautiful....😘😘😍👍

  
"
5.0 out of 5 stars,"









  
  
    
  Quality spatial printing sari degian lovely  and beautiful and beautiful and wonderful and comfortable product very nice and daily and party usful

  
"
1.0 out of 5 stars,"









  
  
    
  Saree is look like good but send to us damage saree 😏If like this send how we order againToo bad feed up to us amazon order 😌

  
"
5.0 out of 5 stars,"









  
  
    
  Nice saree... Very comfort... Worth for money... And light weight saree.. Everyone can buy this saree.. Thank you for this saree

  
"
1.0 out of 5 stars,"









  
  
    
  Poor cloth different than image, I am very dissatisfied this product and seller, I am very unhappy from seller thanks.

  
"
5.0 out of 5 stars,"









  
  
    
  It's as such ok product. If want to buy good looking product in less money then it's perfect for it.

  
"
4.0 out of 5 stars,"









  
  
    
  Very nice.i bought it for my mom.she liked it and carry it on karvachauth.i am very happy.keep it up.beautiful.light weight.

  
"
1.0 out of 5 stars,"









  
  
    
  Print on this saree is likely to be washed off, that's why I m returning it

  
"
5.0 out of 5 stars,"









  
  
    
  Glossy & stylish look with quality material.. Bright colour combinations and prominent fabric peacock work.. Hats off..

  
"
5.0 out of 5 stars,"









  
  
    
  This saree is of amazing quality Its dries quickly and colour doesn't fades away after wash. Colour is bright which gives it a beautiful look. Worth buying at this price.For this rate, rich look and beautiful when i wore this saree look nice.Saree colour didn't fade away after wash. Cloth Material is also smooth .overall it's value for money.

  
"
5.0 out of 5 stars,"









  
  
    
  Didn't expect this to be so elegant and classy. Gifted it to a friend, she really liked it.

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice

  
"
